Peripheral;DNDM;Human Readable Name
AUR;WXRBxAUR:MeasSys.Kinematics.ODT_POS_PHI.DNDMxDEF:VARIABLE_POOL;AUR measured Phi position
AUR;WXRBxAUR:MeasSys.Kinematics.ODT_POS_R.DNDMxDEF:VARIABLE_POOL;AUR measured R position
AUR;WXRBxAUR:MeasSys.TransRatioZ.ODT_1.DNDMxDEF:VARIABLE_POOL;AUR measured Z position
AUR;WXRBxAUR:Spg.Kinematics.ODT_POS_PHI.DNDMxDEF:VARIABLE_POOL;AUR Phi setpoint
AUR;WXRBxAUR:Spg.Kinematics.ODT_POS_R.DNDMxDEF:VARIABLE_POOL;AUR R setpoint
AUR;WXRBxAUR:Spg.Z.Select.ODT_POS.DNDMxDEF:VARIABLE_POOL;AUR Z setpoint
AUR;WXRBxAUR:Ctrl.Hor.FF.SumFFTh1.ODT_1.DNDMxDEF:VARIABLE_POOL;AUR Theta 1 controller output
AUR;WXRBxAUR:Ctrl.Hor.FF.SumFFTh2.ODT_1.DNDMxDEF:VARIABLE_POOL;AUR Theta 2 controller output
AUR;WXRBxAUR:Ctrl.Ver.FF.SumFF.ODT_1.DNDMxDEF:VARIABLE_POOL;AUR Z controller output
AUR;WXRBxAUR:MeasSys.TransRatioTh1.ODT_1.DNDMxDEF:VARIABLE_POOL;AUR measured Theta 1 position
AUR;WXRBxAUR:MeasSys.TransRatioTh2.ODT_1.DNDMxDEF:VARIABLE_POOL;AUR measured Theta 2 position
AUR;WXRBxAUR:Spg.Th1.Select.ODT_POS.DNDMxDEF:VARIABLE_POOL;AUR Theta 1 position setpoint
AUR;WXRBxAUR:Spg.Th2.Select.ODT_POS.DNDMxDEF:VARIABLE_POOL;AUR Theta 2 position setpoint
AUR;CG_wafhnd:EA_WHN_Z_BRAKE_OFF.APP_CHAN.UR_Z_BRAKE_OFF_BRK.DNDMxDEF:VARIABLE_POOL;AUR Z brake 
AUR;CG_wafhnd:EA_WHN_BB_UR_CSR.APP_CHAN.OUTER_MOTOR_PHASE_ANGLE.DNDMxDEF:VARIABLE_POOL;ALR brake box theta1 (needs to checked if this correct)
AUR;CG_wafhnd:EA_WHN_BB_UR_CSR.APP_CHAN.OUTER_MOTOR_PHASE_ANGLE_SETPOINT.DNDMxDEF:VARIABLE_POOL;ALR brake box theta1 setpoint (needs to checked if this correct)
AUR;CG_wafhnd:EA_WHN_BB_UR_CSR.APP_CHAN.INNER_MOTOR_PHASE_ANGLE.DNDMxDEF:VARIABLE_POOL;ALR brake box theta2 needs to checked if this correct)
AUR;CG_wafhnd:EA_WHN_BB_UR_CSR.APP_CHAN.INNER_MOTOR_PHASE_ANGLE_SETPOINT.DNDMxDEF:VARIABLE_POOL;ALR brake box theta2 setpoint needs to checked if this correct)
AUR;CG_wafhnd:EA_WHN_BB_UR_CSR.APP_CHAN.INNER_MOTOR_IPHASE_R.DNDMxDEF:VARIABLE_POOL;ALR inner motor brake box current phase R 
AUR;CG_wafhnd:EA_WHN_BB_UR_CSR.APP_CHAN.INNER_MOTOR_IPHASE_S.DNDMxDEF:VARIABLE_POOL;ALR inner motor brake box current phase S 
AUR;CG_wafhnd:EA_WHN_BB_UR_CSR.APP_CHAN.INNER_MOTOR_IPHASE_T.DNDMxDEF:VARIABLE_POOL;ALR inner motor brake box current phase T 
