Peripheral;DNDM;Human Readable Name
LL1;WXLLxLL1:Sensor.ATMGVClosedVLV_NOT.ODT_1.DNDMxDEF:VARIABLE_POOL;Loadlock 1 atmospheric gate closed signal
LL1;WXLLxLL1:Sensor.ATMGVClosedVLV_NOT.DV.E_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;Loadlock 1 atmospheric gate closed signal
LL1;WXLLxLL1:Sensor.ATMGVOpenVLV_NOT.ODT_1.DNDMxDEF:VARIABLE_POOL;Loadlock 1 atmospheric gate open signal
LL1;WXLLxLL1:Sensor.ATMGVOpenVLV_NOT.DV.E_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;Loadlock 1 atmospheric gate open signal
LL1;WXLLxLL1:Sensor.VACGVClosedVLV.ODT_1.DNDMxDEF:VARIABLE_POOL;Loadlock 1 vacuum gate closed signal
LL1;WXLLxLL1:Sensor.VACGVClosedVLV.DV.E_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;Loadlock 1 vacuum gate closed signal
LL1;WXLLxLL1:Sensor.VACGVOpenVLV.ODT_1.DNDMxDEF:VARIABLE_POOL;Loadlock 1 vacuum gate open signal
LL1;WXLLxLL1:Sensor.VACGVOpenVLV.DV.E_TRACE_VALUE_OUT.DNDMxDEF:VARIABLE_POOL;Loadlock 1 vacuum gate open signal
LL1;CG_wafhnd:WH_SIOB.ET_AIS_COMP.85.VALUE_OUT.DNDMxDEF:VARIABLE_POOL;Loadlock 1 vacuum gate open analog value
LL1;CG_wafhnd:WH_SIOB.ET_AIS_COMP.86.VALUE_OUT.DNDMxDEF:VARIABLE_POOL;Loadlock 1 vacuum gate closed analog value
LL1;CG_wafhnd:WH_SIOB.ET_AIS_COMP.83.VALUE_OUT.DNDMxDEF:VARIABLE_POOL;Loadlock 1 atmospheric gate open analog value
LL1;CG_wafhnd:WH_SIOB.ET_AIS_COMP.84.VALUE_OUT.DNDMxDEF:VARIABLE_POOL;Loadlock 1 atmospheric gate closed analog value
LL1;DV_wafhnd:WH_LL1_VLV_GTVAC@M_TRACE_SET_OUTPUT.DNDMxDEF:VARIABLE_POOL;Loadlock 1 vacuum gate open/close command signal
LL1;DV_wafhnd:WH_LL1_VLV_GTVAC@DEVICE_SET_E_TRACE_RAW_CHANNEL_SET.DNDMxDEF:VARIABLE_POOL;Loadlock 1 vacuum gate open/close command signal
LL1;DV_wafhnd:WH_LL1_VLV_GTATM@M_TRACE_SET_OUTPUT.DNDMxDEF:VARIABLE_POOL;Loadlock 1 atmospheric gate open/close command signal
LL1;WXLLxLL1:Sensor.MainPumpClosedVLV_NOT.ODT_1.DNDMxDEF:VARIABLE_POOL;Loadlock 1 main pump valve closed signal
LL1;WXLLxLL1:Sensor.MainPumpOpenVLV_NOT.ODT_1.DNDMxDEF:VARIABLE_POOL;Loadlock 1 main pump valve open signal
LL1;WXLLxLL1:Sensor.SoftStartPumpClosedVLV_NOT.ODT_1.DNDMxDEF:VARIABLE_POOL;Loadlock 1 start pump valve closed signal
LL1;WXLLxLL1:Sensor.SoftStartPumpOpenVLV_NOT.ODT_1.DNDMxDEF:VARIABLE_POOL;Loadlock 1 start pump valve open signal
LL1;CG_wafhnd:WH_SIOB.ET_AIS_COMP.92.VALUE_OUT.DNDMxDEF:VARIABLE_POOL;Loadlock 1 main pump valve open analog value 
LL1;CG_wafhnd:WH_SIOB.ET_AIS_COMP.93.VALUE_OUT.DNDMxDEF:VARIABLE_POOL;Loadlock 1 main pump valve closed analog value
LL1;CG_wafhnd:WH_SIOB.ET_AIS_COMP.94.VALUE_OUT.DNDMxDEF:VARIABLE_POOL;Loadlock 1 start pump valve open analog value
LL1;CG_wafhnd:WH_SIOB.ET_AIS_COMP.95.VALUE_OUT.DNDMxDEF:VARIABLE_POOL;Loadlock 1 start pump valve closed analog value
